Blocks	Pathways
MAP3K13*TP53*MYC*UBE2C	hsa04010-hsa04310-TFTG
MAP3K13*MYC*UBE2C	hsa04010-TFTG
MAP3K13*RELA*STAT1*IL6ST	hsa04010-hsa04621-TFTG
MAP3K13*RELA*STAT3*IL6ST	hsa04010-hsa04920-TFTG
MAP3K13*NFKB1*STAT1*IL6ST	hsa04010-hsa04621-TFTG
MAP3K13*NFKB1*STAT3*IL6ST	hsa04010-hsa04920-TFTG
MAP3K13*ARRB1*STAT1*IL6ST	hsa04010-hsa04062-TFTG
MAP3K13*ARRB1*STAT3*IL6ST	hsa04010-hsa04062-TFTG
MAP3K13*ARRB1*STAT5B*IL6ST	hsa04010-hsa04062-TFTG
MAP3K13*ARRB2*STAT1*IL6ST	hsa04010-hsa04062-TFTG
MAP3K13*ARRB2*STAT3*IL6ST	hsa04010-hsa04062-TFTG
MAP3K13*ARRB2*STAT5B*IL6ST	hsa04010-hsa04062-TFTG
MAP3K13*ATF4*IL6*IL6ST	hsa04010-TFTG-hsa04060
MAP3K13*ATF4*IL6*IL6ST	hsa04010-TFTG-hsa04630
MAP3K13*ATF4*IL6*IL6ST	hsa04010-TFTG-hsa04659
MAP3K13*ELK1*PDGFB*IL6ST	hsa04010-TFTG-hsa04630
MAP3K13*ELK1*PRL*IL6ST	hsa04010-TFTG-hsa04630
MAP3K13*FOS*IL12B*IL6ST	hsa04010-TFTG-hsa04630
MAP3K13*FOS*IL2*IL6ST	hsa04010-TFTG-hsa04630
MAP3K13*FOS*IL3*IL6ST	hsa04010-TFTG-hsa04630
MAP3K13*JUN*CSF2*IL6ST	hsa04010-TFTG-hsa04630
MAP3K13*JUN*IFNB1*IL6ST	hsa04010-TFTG-hsa04630
MAP3K13*JUN*IFNG*IL6ST	hsa04010-TFTG-hsa04630
MAP3K13*JUN*IL12A*IL6ST	hsa04010-TFTG-hsa04630
MAP3K13*JUN*IL12B*IL6ST	hsa04010-TFTG-hsa04630
