BlockName	Pathway	Length	Genes
hsa00100_FDFT1_DHCR7	hsa00100	4	DHCR24*DHCR7*FDFT1*LSS*SQLE
hsa00100_LBR_DHCR7	hsa00100	5	CYP51A1*DHCR24*DHCR7*EBP*HSD17B7*LBR*MSMO1*NSDHL*TM7SF2
hsa00100_MSMO1_DHCR7	hsa00100	4	DHCR24*DHCR7*HSD17B7*MSMO1*NSDHL
hsa00100_SQLE_DHCR7	hsa00100	3	DHCR24*DHCR7*LSS*SQLE
hsa00100_TM7SF2_DHCR7	hsa00100	3	DHCR24*DHCR7*EBP*TM7SF2
hsa04010_AKT1_ATF2	hsa04010	4	AKT1*ATF2*MAP2K3*MAP2K6*MAP3K5*MAPK11*MAPK12*MAPK13*MAPK14
hsa04010_AKT1_ELK1	hsa04010	3	AKT1*ELK1*MAP2K4*MAPK10*MAPK8*MAPK9
hsa04010_AKT1_JUN	hsa04010	3	AKT1*JUN*MAP2K4*MAPK10*MAPK8*MAPK9
hsa04010_AKT1_MYC	hsa04010	6	AKT1*MAP2K1*MAP2K2*MAP2K4*MAP3K1*MAPK1*MAPK3*MAPK8IP3*MYC
hsa04010_AKT1_NFKB1	hsa04010	5	AKT1*CHUK*IKBKB*IKBKG*MAP2K4*MAP3K1*MAPK8IP3*NFKB1
hsa04010_AKT1_NFKB2	hsa04010	5	AKT1*CHUK*IKBKB*IKBKG*MAP2K4*MAP3K1*MAPK8IP3*NFKB2
hsa04010_AKT1_RELA	hsa04010	5	AKT1*CHUK*IKBKB*IKBKG*MAP2K4*MAP3K1*MAPK8IP3*RELA
hsa04010_AKT1_RELB	hsa04010	5	AKT1*CHUK*IKBKB*IKBKG*MAP2K4*MAP3K1*MAPK8IP3*RELB
hsa04010_AKT1_TP53	hsa04010	3	AKT1*MAP2K4*MAPK10*MAPK8*MAPK9*TP53
hsa04010_AKT2_ATF2	hsa04010	4	AKT2*ATF2*MAP2K3*MAP2K6*MAP3K5*MAPK11*MAPK12*MAPK13*MAPK14
hsa04010_AKT2_ELK1	hsa04010	3	AKT2*ELK1*MAP2K4*MAPK10*MAPK8*MAPK9
hsa04010_AKT2_JUN	hsa04010	3	AKT2*JUN*MAP2K4*MAPK10*MAPK8*MAPK9
hsa04010_AKT2_MYC	hsa04010	6	AKT2*MAP2K1*MAP2K2*MAP2K4*MAP3K1*MAPK1*MAPK3*MAPK8IP3*MYC
hsa04010_AKT2_NFKB1	hsa04010	5	AKT2*CHUK*IKBKB*IKBKG*MAP2K4*MAP3K1*MAPK8IP3*NFKB1
hsa04010_AKT2_NFKB2	hsa04010	5	AKT2*CHUK*IKBKB*IKBKG*MAP2K4*MAP3K1*MAPK8IP3*NFKB2
hsa04010_AKT2_RELA	hsa04010	5	AKT2*CHUK*IKBKB*IKBKG*MAP2K4*MAP3K1*MAPK8IP3*RELA
hsa04010_AKT2_RELB	hsa04010	5	AKT2*CHUK*IKBKB*IKBKG*MAP2K4*MAP3K1*MAPK8IP3*RELB
hsa04010_AKT2_TP53	hsa04010	3	AKT2*MAP2K4*MAPK10*MAPK8*MAPK9*TP53
hsa04010_AKT3_JUN	hsa04010	3	AKT3*JUN*MAP2K4*MAPK10*MAPK8*MAPK9
