source	target
hsa04010	hsa04310
hsa04010	hsa04621
hsa04010	hsa04920
hsa04010	hsa04062
hsa04010	hsa04060
hsa04010	hsa04630
hsa04010	hsa04659
hsa04010	hsa04550
hsa04010	hsa04066
hsa04010	hsa00100
hsa04010	hsa04722
hsa04010	hsa04064
hsa04010	hsa04210
hsa04010	hsa04625
hsa04010	hsa04926
hsa04010	hsa04115
hsa04010	hsa04390
hsa04010	hsa03440
hsa04310	hsa04390
hsa04310	hsa04010
hsa04310	hsa04630
hsa04310	hsa04060
hsa04310	hsa04659
hsa04310	hsa04066
hsa04310	hsa00100
hsa04310	hsa04064
hsa04310	hsa04068
hsa04310	hsa04210
hsa04310	hsa04012
hsa04310	hsa04620
hsa04310	hsa04625
hsa04310	hsa04657
hsa04310	hsa04660
hsa04310	hsa04668
hsa04310	hsa04722
hsa04310	hsa04912
hsa04310	hsa04926
hsa04310	hsa03440
hsa04621	hsa04622
hsa04621	hsa04010
hsa04621	hsa04064
hsa04621	hsa04630
hsa04621	hsa04062
hsa04621	hsa04917
hsa04621	hsa04060
hsa04621	hsa04659
hsa04621	hsa04066
hsa04621	hsa00100
hsa04621	hsa04068
hsa04621	hsa04210
hsa04621	hsa04668
hsa04920	hsa04621
hsa04920	hsa04060
hsa04920	hsa04630
hsa04920	hsa04660
hsa04920	hsa04662
hsa04920	hsa04722
hsa04920	hsa04062
hsa04920	hsa04064
hsa04920	hsa04210
hsa04920	hsa04620
hsa04920	hsa04622
hsa04920	hsa04625
hsa04920	hsa04926
hsa04920	hsa04550
hsa04920	hsa04917
hsa04920	hsa04659
hsa04920	hsa04066
hsa04920	hsa04068
hsa04062	hsa04010
hsa04062	hsa04012
hsa04062	hsa04014
hsa04062	hsa04919
hsa04062	hsa04915
hsa04062	hsa04068
hsa04062	hsa04722
hsa04062	hsa04926
hsa04062	hsa04024
hsa04062	hsa04620
hsa04062	hsa04625
hsa04062	hsa04657
hsa04062	hsa04660
hsa04062	hsa04662
hsa04062	hsa04921
hsa04062	hsa04151
hsa04062	hsa04310
hsa04062	hsa04390
hsa04062	hsa04550
hsa04062	hsa04630
hsa04062	hsa04621
hsa04062	hsa04920
hsa04062	hsa04917
hsa04062	hsa04060
hsa04062	hsa04659
hsa04062	hsa04066
hsa04062	hsa00100
hsa04062	hsa04064
hsa04062	hsa04210
hsa04062	hsa04071
hsa04062	hsa03440
hsa04630	hsa04550
hsa04630	hsa04010
hsa04630	hsa04012
hsa04630	hsa04014
hsa04630	hsa04919
hsa04630	hsa04917
hsa04630	hsa04621
hsa04630	hsa04625
hsa04630	hsa04060
hsa04630	hsa04659
hsa04630	hsa04066
hsa04630	hsa04915
hsa04630	hsa00100
hsa04630	hsa04071
hsa04630	hsa04068
hsa04630	hsa04722
hsa04630	hsa04926
hsa04630	hsa04390
hsa04630	hsa04210
