source	target
hsa04010_MAP3K13_TP53	hsa04310_TP53_MYC
hsa04010_MAP3K13_TP53	hsa04060_IL11_IL6ST
hsa04010_MAP3K13_TP53	hsa04630_IL11_IL6ST
hsa04010_MAP3K13_TP53	hsa04630_IL15_IL6ST
hsa04010_MAP3K13_TP53	hsa04630_IL2_IL6ST
hsa04010_MAP3K13_TP53	hsa04630_IL4_IL6ST
hsa04010_MAP3K13_TP53	hsa04060_IL6_IL6ST
hsa04010_MAP3K13_TP53	hsa04630_IL6_IL6ST
hsa04010_MAP3K13_TP53	hsa04659_IL6_IL6ST
hsa04010_MAP3K13_TP53	hsa04060_LIF_IL6ST
hsa04010_MAP3K13_TP53	hsa04550_LIF_IL6ST
hsa04010_MAP3K13_TP53	hsa04630_LIF_IL6ST
hsa04010_MAP3K13_TP53	hsa04115_TP53_TP73
hsa04010_MAP3K13_TP53	hsa04310_TP53_LEF1
hsa04010_MAP3K13_TP53	hsa04310_TP53_TCF7
hsa04010_MAP3K13_TP53	hsa04310_TP53_TCF7L2
hsa04010_MAP3K13_TP53	hsa04210_AKT1_BIRC5
hsa04010_MAP3K13_TP53	hsa04210_CHUK_BIRC5
hsa04010_MAP3K13_TP53	hsa04390_CTNNB1_BIRC5
hsa04010_MAP3K13_TP53	hsa04210_CTSD_BIRC5
hsa04010_MAP3K13_TP53	hsa04210_NFKB1_BIRC5
hsa04010_MAP3K13_TP53	hsa04390_RASSF1_BIRC5
hsa04010_MAP3K13_TP53	hsa04210_RELA_BIRC5
hsa04010_MAP3K13_TP53	hsa04390_TCF7L2_BIRC5
hsa04010_MAP3K13_TP53	hsa04210_TNF_BIRC5
hsa04010_MAP3K13_TP53	hsa04390_TP53BP2_BIRC5
hsa04010_MAP3K13_TP53	hsa04310_TP53_JUN
hsa04010_MAP3K13_TP53	hsa03440_BRCA1_RBBP8
hsa04310_TP53_MYC	hsa04630_IFNA1_IL6ST
hsa04310_TP53_MYC	hsa04630_IFNA13_IL6ST
hsa04310_TP53_MYC	hsa04630_IL13_IL6ST
hsa04310_TP53_MYC	hsa04630_IL2_IL6ST
