,BlockName,Pathway,Sources,Targets,SubpathwayBlocks
0,hsa00100_CEL+LIPA_DHCR7+DHCR7,hsa00100,CEL;LIPA,DHCR7;DHCR7,hsa00100_CEL_DHCR7;hsa00100_LIPA_DHCR7
1,hsa00100_DHCR24_DHCR7,hsa00100,DHCR24,DHCR7,hsa00100_DHCR24_DHCR7
2,hsa00100_EBP_DHCR7,hsa00100,EBP,DHCR7,hsa00100_EBP_DHCR7
3,hsa00100_FDFT1_DHCR7,hsa00100,FDFT1,DHCR7,hsa00100_FDFT1_DHCR7
4,hsa00100_LBR+TM7SF2_DHCR7+DHCR7,hsa00100,LBR;TM7SF2,DHCR7;DHCR7,hsa00100_LBR_DHCR7;hsa00100_TM7SF2_DHCR7
5,hsa00100_MSMO1_DHCR7,hsa00100,MSMO1,DHCR7,hsa00100_MSMO1_DHCR7
6,hsa00100_SC5D_DHCR7,hsa00100,SC5D,DHCR7,hsa00100_SC5D_DHCR7
7,hsa00100_SOAT1_DHCR7,hsa00100,SOAT1,DHCR7,hsa00100_SOAT1_DHCR7
8,hsa00100_SQLE_DHCR7,hsa00100,SQLE,DHCR7,hsa00100_SQLE_DHCR7
9,hsa03440_ATM_RBBP8,hsa03440,ATM,RBBP8,hsa03440_ATM_RBBP8
10,hsa03440_BRCA1_RBBP8,hsa03440,BRCA1,RBBP8,hsa03440_BRCA1_RBBP8
11,hsa03440_RAD50_RBBP8,hsa03440,RAD50,RBBP8,hsa03440_RAD50_RBBP8
12,hsa04010_AKT1+AKT1+AKT2+AKT2_ARRB1+ARRB2+ARRB1+ARRB2,hsa04010,AKT1;AKT1;AKT2;AKT2,ARRB1;ARRB2;ARRB1;ARRB2,hsa04010_AKT1_ARRB1;hsa04010_AKT1_ARRB2;hsa04010_AKT2_ARRB1;hsa04010_AKT2_ARRB2
13,hsa04010_AKT1+AKT2_ATF2+ATF2,hsa04010,AKT1;AKT2,ATF2;ATF2,hsa04010_AKT1_ATF2;hsa04010_AKT2_ATF2
14,hsa04010_AKT1+AKT2_ATF4+ATF4,hsa04010,AKT1;AKT2,ATF4;ATF4,hsa04010_AKT1_ATF4;hsa04010_AKT2_ATF4
15,hsa04010_AKT1+AKT1+AKT2+AKT2_CRK+CRKL+CRK+CRKL,hsa04010,AKT1;AKT1;AKT2;AKT2,CRK;CRKL;CRK;CRKL,hsa04010_AKT1_CRK;hsa04010_AKT1_CRKL;hsa04010_AKT2_CRK;hsa04010_AKT2_CRKL
16,hsa04010_AKT1+AKT2_DDIT3+DDIT3,hsa04010,AKT1;AKT2,DDIT3;DDIT3,hsa04010_AKT1_DDIT3;hsa04010_AKT2_DDIT3
17,hsa04010_AKT1+AKT2_ELK1+ELK1,hsa04010,AKT1;AKT2,ELK1;ELK1,hsa04010_AKT1_ELK1;hsa04010_AKT2_ELK1
18,hsa04010_AKT1+AKT1+AKT2+AKT2+AKT3_FOS+JUN+FOS+JUN+JUN,hsa04010,AKT1;AKT1;AKT2;AKT2;AKT3,FOS;JUN;FOS;JUN;JUN,hsa04010_AKT1_FOS;hsa04010_AKT1_JUN;hsa04010_AKT2_FOS;hsa04010_AKT2_JUN;hsa04010_AKT3_JUN
19,hsa04010_AKT1+AKT2_JUND+JUND,hsa04010,AKT1;AKT2,JUND;JUND,hsa04010_AKT1_JUND;hsa04010_AKT2_JUND
20,hsa04010_AKT1+AKT2+AKT3_MYC+MYC+MYC,hsa04010,AKT1;AKT2;AKT3,MYC;MYC;MYC,hsa04010_AKT1_MYC;hsa04010_AKT2_MYC;hsa04010_AKT3_MYC
21,hsa04010_AKT1+AKT2_NFATC1+NFATC1,hsa04010,AKT1;AKT2,NFATC1;NFATC1,hsa04010_AKT1_NFATC1;hsa04010_AKT2_NFATC1
22,hsa04010_AKT1+AKT2_NFATC3+NFATC3,hsa04010,AKT1;AKT2,NFATC3;NFATC3,hsa04010_AKT1_NFATC3;hsa04010_AKT2_NFATC3
23,hsa04010_AKT1+AKT1+AKT1+AKT1+AKT2+AKT2+AKT2+AKT2+AKT3+AKT3_NFKB1+NFKB2+RELA+RELB+NFKB1+NFKB2+RELA+RELB+NFKB1+RELA,hsa04010,AKT1;AKT1;AKT1;AKT1;AKT2;AKT2;AKT2;AKT2;AKT3;AKT3,NFKB1;NFKB2;RELA;RELB;NFKB1;NFKB2;RELA;RELB;NFKB1;RELA,hsa04010_AKT1_NFKB1;hsa04010_AKT1_NFKB2;hsa04010_AKT1_RELA;hsa04010_AKT1_RELB;hsa04010_AKT2_NFKB1;hsa04010_AKT2_NFKB2;hsa04010_AKT2_RELA;hsa04010_AKT2_RELB;hsa04010_AKT3_NFKB1;hsa04010_AKT3_RELA
24,hsa04010_AKT1+AKT2+AKT3_TP53+TP53+TP53,hsa04010,AKT1;AKT2;AKT3,TP53;TP53;TP53,hsa04010_AKT1_TP53;hsa04010_AKT2_TP53;hsa04010_AKT3_TP53
25,hsa04010_CASP3_JUN,hsa04010,CASP3,JUN,hsa04010_CASP3_JUN
