BlockName	Pathway	Length	Genes
hsa00100_CEL_DHCR7	hsa00100	2	CEL*DHCR24*DHCR7
hsa00100_DHCR24_DHCR7	hsa00100	1	DHCR24*DHCR7
hsa00100_EBP_DHCR7	hsa00100	2	DHCR24*DHCR7*EBP
hsa00100_FDFT1_DHCR7	hsa00100	4	DHCR24*DHCR7*FDFT1*LSS*SQLE
hsa00100_LBR_DHCR7	hsa00100	5	CYP51A1*DHCR24*DHCR7*EBP*HSD17B7*LBR*MSMO1*NSDHL*TM7SF2
hsa00100_LIPA_DHCR7	hsa00100	2	DHCR24*DHCR7*LIPA
hsa00100_MSMO1_DHCR7	hsa00100	4	DHCR24*DHCR7*HSD17B7*MSMO1*NSDHL
hsa00100_SC5D_DHCR7	hsa00100	1	DHCR7*SC5D
hsa00100_SOAT1_DHCR7	hsa00100	2	DHCR24*DHCR7*SOAT1
hsa00100_SQLE_DHCR7	hsa00100	3	DHCR24*DHCR7*LSS*SQLE
hsa00100_TM7SF2_DHCR7	hsa00100	3	DHCR24*DHCR7*EBP*TM7SF2
hsa03440_ATM_RBBP8	hsa03440	2	ATM*BRCA1*RBBP8
hsa03440_BRCA1_RBBP8	hsa03440	1	BRCA1*RBBP8
hsa03440_RAD50_RBBP8	hsa03440	1	RAD50*RBBP8
hsa04010_AKT1_ARRB1	hsa04010	2	AKT1*ARRB1*MAP2K4
hsa04010_AKT1_ARRB2	hsa04010	2	AKT1*ARRB2*MAP2K4
hsa04010_AKT1_ATF2	hsa04010	4	AKT1*ATF2*MAP2K3*MAP2K6*MAP3K5*MAPK11*MAPK12*MAPK13*MAPK14
hsa04010_AKT1_ATF4	hsa04010	5	AKT1*ATF4*MAP2K3*MAP2K6*MAP3K5*MAPK11*MAPK12*MAPK13*MAPK14*MAPKAPK2*MAPKAPK3*RPS6KA4*RPS6KA5
hsa04010_AKT1_CRK	hsa04010	2	AKT1*CRK*MAP2K4
hsa04010_AKT1_CRKL	hsa04010	2	AKT1*CRKL*MAP2K4
hsa04010_AKT1_DDIT3	hsa04010	4	AKT1*DDIT3*MAP2K3*MAP2K6*MAP3K5*MAPK11*MAPK12*MAPK13*MAPK14
hsa04010_AKT1_ELK1	hsa04010	3	AKT1*ELK1*MAP2K4*MAPK10*MAPK8*MAPK9
hsa04010_AKT1_FOS	hsa04010	3	AKT1*FOS*MAP2K4*MAPK10*MAPK8*MAPK9
hsa04010_AKT1_JUN	hsa04010	3	AKT1*JUN*MAP2K4*MAPK10*MAPK8*MAPK9
hsa04010_AKT1_JUND	hsa04010	3	AKT1*JUND*MAP2K4*MAPK10*MAPK8*MAPK9
hsa04010_AKT1_MYC	hsa04010	6	AKT1*MAP2K1*MAP2K2*MAP2K4*MAP3K1*MAPK1*MAPK3*MAPK8IP3*MYC
hsa04010_AKT1_NFATC1	hsa04010	3	AKT1*MAP2K4*MAPK10*MAPK8*MAPK9*NFATC1
hsa04010_AKT1_NFATC3	hsa04010	3	AKT1*MAP2K4*MAPK10*MAPK8*MAPK9*NFATC3
hsa04010_AKT1_NFKB1	hsa04010	5	AKT1*CHUK*IKBKB*IKBKG*MAP2K4*MAP3K1*MAPK8IP3*NFKB1
hsa04010_AKT1_NFKB2	hsa04010	5	AKT1*CHUK*IKBKB*IKBKG*MAP2K4*MAP3K1*MAPK8IP3*NFKB2
hsa04010_AKT1_RELA	hsa04010	5	AKT1*CHUK*IKBKB*IKBKG*MAP2K4*MAP3K1*MAPK8IP3*RELA
hsa04010_AKT1_RELB	hsa04010	5	AKT1*CHUK*IKBKB*IKBKG*MAP2K4*MAP3K1*MAPK8IP3*RELB
hsa04010_AKT1_TP53	hsa04010	3	AKT1*MAP2K4*MAPK10*MAPK8*MAPK9*TP53
hsa04010_AKT2_ARRB1	hsa04010	2	AKT2*ARRB1*MAP2K4
hsa04010_AKT2_ARRB2	hsa04010	2	AKT2*ARRB2*MAP2K4
hsa04010_AKT2_ATF2	hsa04010	4	AKT2*ATF2*MAP2K3*MAP2K6*MAP3K5*MAPK11*MAPK12*MAPK13*MAPK14
hsa04010_AKT2_ATF4	hsa04010	5	AKT2*ATF4*MAP2K3*MAP2K6*MAP3K5*MAPK11*MAPK12*MAPK13*MAPK14*MAPKAPK2*MAPKAPK3*RPS6KA4*RPS6KA5
hsa04010_AKT2_CRK	hsa04010	2	AKT2*CRK*MAP2K4
hsa04010_AKT2_CRKL	hsa04010	2	AKT2*CRKL*MAP2K4
hsa04010_AKT2_DDIT3	hsa04010	4	AKT2*DDIT3*MAP2K3*MAP2K6*MAP3K5*MAPK11*MAPK12*MAPK13*MAPK14
hsa04010_AKT2_ELK1	hsa04010	3	AKT2*ELK1*MAP2K4*MAPK10*MAPK8*MAPK9
hsa04010_AKT2_FOS	hsa04010	3	AKT2*FOS*MAP2K4*MAPK10*MAPK8*MAPK9
hsa04010_AKT2_JUN	hsa04010	3	AKT2*JUN*MAP2K4*MAPK10*MAPK8*MAPK9
hsa04010_AKT2_JUND	hsa04010	3	AKT2*JUND*MAP2K4*MAPK10*MAPK8*MAPK9
hsa04010_AKT2_MYC	hsa04010	6	AKT2*MAP2K1*MAP2K2*MAP2K4*MAP3K1*MAPK1*MAPK3*MAPK8IP3*MYC
hsa04010_AKT2_NFATC1	hsa04010	3	AKT2*MAP2K4*MAPK10*MAPK8*MAPK9*NFATC1
hsa04010_AKT2_NFATC3	hsa04010	3	AKT2*MAP2K4*MAPK10*MAPK8*MAPK9*NFATC3
hsa04010_AKT2_NFKB1	hsa04010	5	AKT2*CHUK*IKBKB*IKBKG*MAP2K4*MAP3K1*MAPK8IP3*NFKB1
hsa04010_AKT2_NFKB2	hsa04010	5	AKT2*CHUK*IKBKB*IKBKG*MAP2K4*MAP3K1*MAPK8IP3*NFKB2
hsa04010_AKT2_RELA	hsa04010	5	AKT2*CHUK*IKBKB*IKBKG*MAP2K4*MAP3K1*MAPK8IP3*RELA
hsa04010_AKT2_RELB	hsa04010	5	AKT2*CHUK*IKBKB*IKBKG*MAP2K4*MAP3K1*MAPK8IP3*RELB
hsa04010_AKT2_TP53	hsa04010	3	AKT2*MAP2K4*MAPK10*MAPK8*MAPK9*TP53
hsa04010_AKT3_JUN	hsa04010	3	AKT3*JUN*MAP2K4*MAPK10*MAPK8*MAPK9
hsa04010_AKT3_MYC	hsa04010	6	AKT3*MAP2K1*MAP2K2*MAP2K4*MAP3K1*MAPK1*MAPK3*MAPK8IP3*MYC
hsa04010_AKT3_NFKB1	hsa04010	5	AKT3*CHUK*IKBKB*IKBKG*MAP2K4*MAP3K1*MAPK8IP3*NFKB1
hsa04010_AKT3_RELA	hsa04010	5	AKT3*CHUK*IKBKB*IKBKG*MAP2K4*MAP3K1*MAPK8IP3*RELA
hsa04010_AKT3_TP53	hsa04010	3	AKT3*MAP2K4*MAPK10*MAPK8*MAPK9*TP53
hsa04010_CASP3_JUN	hsa04010	4	CASP3*JUN*MAP2K4*MAP3K1*MAPK10*MAPK8*MAPK9
hsa04010_CASP3_MYC	hsa04010	4	CASP3*MAP2K1*MAP2K2*MAP3K1*MAPK1*MAPK3*MYC
hsa04010_CASP3_NFKB1	hsa04010	3	CASP3*CHUK*IKBKB*IKBKG*MAP3K1*NFKB1
hsa04010_CASP3_RELA	hsa04010	3	CASP3*CHUK*IKBKB*IKBKG*MAP3K1*RELA
hsa04010_CASP3_TP53	hsa04010	4	CASP3*MAP2K4*MAP3K1*MAPK10*MAPK8*MAPK9*TP53
hsa04010_CHUK_NFKB1	hsa04010	1	CHUK*NFKB1
hsa04010_CHUK_RELA	hsa04010	1	CHUK*RELA
hsa04010_FASLG_TP53	hsa04010	6	DAXX*FAS*FASLG*MAP2K3*MAP2K6*MAP3K5*MAPK11*MAPK12*MAPK13*MAPK14*TP53
hsa04010_FAS_TP53	hsa04010	5	DAXX*FAS*MAP2K3*MAP2K6*MAP3K5*MAPK11*MAPK12*MAPK13*MAPK14*TP53
hsa04010_GADD45A_TP53	hsa04010	4	GADD45A*MAP2K3*MAP2K6*MAP3K4*MAPK11*MAPK12*MAPK13*MAPK14*TP53
hsa04010_GADD45B_TP53	hsa04010	4	GADD45B*MAP2K3*MAP2K6*MAP3K4*MAPK11*MAPK12*MAPK13*MAPK14*TP53
hsa04010_GADD45G_TP53	hsa04010	4	GADD45G*MAP2K3*MAP2K6*MAP3K4*MAPK11*MAPK12*MAPK13*MAPK14*TP53
hsa04010_HRAS_ARRB1	hsa04010	3	ARRB1*HRAS*MAP2K4*MAP3K1
hsa04010_HRAS_ARRB2	hsa04010	3	ARRB2*HRAS*MAP2K4*MAP3K1
hsa04010_HRAS_ATF4	hsa04010	5	ARAF*ATF4*BRAF*HRAS*MAP2K1*MAP2K2*MAP3K1*MAPK1*MAPK3*MKNK1*MKNK2*RAF1*RPS6KA1*RPS6KA2*RPS6KA3*RPS6KA6
hsa04010_HRAS_CRK	hsa04010	3	CRK*HRAS*MAP2K4*MAP3K1
hsa04010_HRAS_CRKL	hsa04010	3	CRKL*HRAS*MAP2K4*MAP3K1
hsa04010_HRAS_ELK1	hsa04010	4	ARAF*BRAF*ELK1*HRAS*MAP2K1*MAP2K2*MAP2K4*MAP3K1*MAPK1*MAPK10*MAPK3*MAPK8*MAPK9*RAF1
hsa04010_HRAS_FOS	hsa04010	4	FOS*HRAS*MAP2K4*MAP3K1*MAPK10*MAPK8*MAPK9
hsa04010_HRAS_JUN	hsa04010	4	HRAS*JUN*MAP2K4*MAP3K1*MAPK10*MAPK8*MAPK9
hsa04010_HRAS_JUND	hsa04010	4	HRAS*JUND*MAP2K4*MAP3K1*MAPK10*MAPK8*MAPK9
hsa04010_HRAS_MYC	hsa04010	4	ARAF*BRAF*HRAS*MAP2K1*MAP2K2*MAP3K1*MAPK1*MAPK3*MYC*RAF1
hsa04010_HRAS_NFATC1	hsa04010	4	HRAS*MAP2K4*MAP3K1*MAPK10*MAPK8*MAPK9*NFATC1
hsa04010_HRAS_NFATC3	hsa04010	4	HRAS*MAP2K4*MAP3K1*MAPK10*MAPK8*MAPK9*NFATC3
hsa04010_HRAS_NFKB1	hsa04010	3	CHUK*HRAS*IKBKB*IKBKG*MAP3K1*NFKB1
hsa04010_HRAS_NFKB2	hsa04010	3	CHUK*HRAS*IKBKB*IKBKG*MAP3K1*NFKB2
hsa04010_HRAS_RELA	hsa04010	3	CHUK*HRAS*IKBKB*IKBKG*MAP3K1*RELA
hsa04010_HRAS_RELB	hsa04010	3	CHUK*HRAS*IKBKB*IKBKG*MAP3K1*RELB
hsa04010_HRAS_TP53	hsa04010	4	HRAS*MAP2K4*MAP3K1*MAPK10*MAPK8*MAPK9*TP53
hsa04010_IKBKB_NFKB1	hsa04010	1	IKBKB*NFKB1
hsa04010_IKBKB_NFKB2	hsa04010	1	IKBKB*NFKB2
