,BlockName,Pathway,Sources,Targets,SubpathwayBlocks
0,hsa00480_ANPEP_GSTM1,hsa00480,ANPEP,GSTM1,hsa00480_ANPEP_GSTM1
1,hsa00480_CHAC1_GSTM1,hsa00480,CHAC1,GSTM1,hsa00480_CHAC1_GSTM1
2,hsa00480_GCLC+GCLM_GSTM1+GSTM1,hsa00480,GCLC;GCLM,GSTM1;GSTM1,hsa00480_GCLC_GSTM1;hsa00480_GCLM_GSTM1
3,hsa00480_GGCT_GSTM1,hsa00480,GGCT,GSTM1,hsa00480_GGCT_GSTM1
4,hsa00480_GSR_GSTM1,hsa00480,GSR,GSTM1,hsa00480_GSR_GSTM1
5,hsa00480_GSS_GSTM1,hsa00480,GSS,GSTM1,hsa00480_GSS_GSTM1
6,hsa00480_GSTA3+GSTA4+GSTK1+GSTM4+GSTO1+GSTO2+GSTP1+LANCL1+MGST1+MGST2+MGST3_GSTM1+GSTM1+GSTM1+GSTM1+GSTM1+GSTM1+GSTM1+GSTM1+GSTM1+GSTM1+GSTM1,hsa00480,GSTA3;GSTA4;GSTK1;GSTM4;GSTO1;GSTO2;GSTP1;LANCL1;MGST1;MGST2;MGST3,GSTM1;GSTM1;GSTM1;GSTM1;GSTM1;GSTM1;GSTM1;GSTM1;GSTM1;GSTM1;GSTM1,hsa00480_GSTA3_GSTM1;hsa00480_GSTA4_GSTM1;hsa00480_GSTK1_GSTM1;hsa00480_GSTM4_GSTM1;hsa00480_GSTO1_GSTM1;hsa00480_GSTO2_GSTM1;hsa00480_GSTP1_GSTM1;hsa00480_LANCL1_GSTM1;hsa00480_MGST1_GSTM1;hsa00480_MGST2_GSTM1;hsa00480_MGST3_GSTM1
7,hsa00480_LAP3_GSTM1,hsa00480,LAP3,GSTM1,hsa00480_LAP3_GSTM1
8,hsa00980_AKR1C1_GSTM1,hsa00980,AKR1C1,GSTM1,hsa00980_AKR1C1_GSTM1
9,hsa00980_CYP1A1+CYP1A2+CYP1B1_GSTM1+GSTM1+GSTM1,hsa00980,CYP1A1;CYP1A2;CYP1B1,GSTM1;GSTM1;GSTM1,hsa00980_CYP1A1_GSTM1;hsa00980_CYP1A2_GSTM1;hsa00980_CYP1B1_GSTM1
10,hsa00980_CYP2B6+CYP2E1+CYP2F1_GSTM1+GSTM1+GSTM1,hsa00980,CYP2B6;CYP2E1;CYP2F1,GSTM1;GSTM1;GSTM1,hsa00980_CYP2B6_GSTM1;hsa00980_CYP2E1_GSTM1;hsa00980_CYP2F1_GSTM1
11,hsa00980_CYP2C9_GSTM1,hsa00980,CYP2C9,GSTM1,hsa00980_CYP2C9_GSTM1
12,hsa00980_CYP3A4+CYP3A5_GSTM1+GSTM1,hsa00980,CYP3A4;CYP3A5,GSTM1;GSTM1,hsa00980_CYP3A4_GSTM1;hsa00980_CYP3A5_GSTM1
13,hsa00980_EPHX1_GSTM1,hsa00980,EPHX1,GSTM1,hsa00980_EPHX1_GSTM1
14,hsa00980_GSTA3+GSTA4+GSTK1+GSTM4+GSTO1+GSTO2+GSTP1+MGST1+MGST2+MGST3_GSTM1+GSTM1+GSTM1+GSTM1+GSTM1+GSTM1+GSTM1+GSTM1+GSTM1+GSTM1,hsa00980,GSTA3;GSTA4;GSTK1;GSTM4;GSTO1;GSTO2;GSTP1;MGST1;MGST2;MGST3,GSTM1;GSTM1;GSTM1;GSTM1;GSTM1;GSTM1;GSTM1;GSTM1;GSTM1;GSTM1,hsa00980_GSTA3_GSTM1;hsa00980_GSTA4_GSTM1;hsa00980_GSTK1_GSTM1;hsa00980_GSTM4_GSTM1;hsa00980_GSTO1_GSTM1;hsa00980_GSTO2_GSTM1;hsa00980_GSTP1_GSTM1;hsa00980_MGST1_GSTM1;hsa00980_MGST2_GSTM1;hsa00980_MGST3_GSTM1
15,hsa00980_HSD11B1_GSTM1,hsa00980,HSD11B1,GSTM1,hsa00980_HSD11B1_GSTM1
16,hsa00983_CES1_GSTM1,hsa00983,CES1,GSTM1,hsa00983_CES1_GSTM1
17,hsa00983_CYP2E1_GSTM1,hsa00983,CYP2E1,GSTM1,hsa00983_CYP2E1_GSTM1
18,hsa00983_CYP3A4_GSTM1,hsa00983,CYP3A4,GSTM1,hsa00983_CYP3A4_GSTM1
19,hsa00983_MPO_GSTM1,hsa00983,MPO,GSTM1,hsa00983_MPO_GSTM1
20,hsa00983_NAT1_GSTM1,hsa00983,NAT1,GSTM1,hsa00983_NAT1_GSTM1
21,hsa04010_AKT1+AKT1+AKT2+AKT2_ARRB1+ARRB2+ARRB1+ARRB2,hsa04010,AKT1;AKT1;AKT2;AKT2,ARRB1;ARRB2;ARRB1;ARRB2,hsa04010_AKT1_ARRB1;hsa04010_AKT1_ARRB2;hsa04010_AKT2_ARRB1;hsa04010_AKT2_ARRB2
22,hsa04010_AKT1+AKT2_ATF2+ATF2,hsa04010,AKT1;AKT2,ATF2;ATF2,hsa04010_AKT1_ATF2;hsa04010_AKT2_ATF2
23,hsa04010_AKT1+AKT2_ATF4+ATF4,hsa04010,AKT1;AKT2,ATF4;ATF4,hsa04010_AKT1_ATF4;hsa04010_AKT2_ATF4
24,hsa04010_AKT1+AKT1+AKT2+AKT2_CRK+CRKL+CRK+CRKL,hsa04010,AKT1;AKT1;AKT2;AKT2,CRK;CRKL;CRK;CRKL,hsa04010_AKT1_CRK;hsa04010_AKT1_CRKL;hsa04010_AKT2_CRK;hsa04010_AKT2_CRKL
25,hsa04010_AKT1+AKT2_DDIT3+DDIT3,hsa04010,AKT1;AKT2,DDIT3;DDIT3,hsa04010_AKT1_DDIT3;hsa04010_AKT2_DDIT3
26,hsa04010_AKT1+AKT2+AKT3_ELK1+ELK1+ELK1,hsa04010,AKT1;AKT2;AKT3,ELK1;ELK1;ELK1,hsa04010_AKT1_ELK1;hsa04010_AKT2_ELK1;hsa04010_AKT3_ELK1
27,hsa04010_AKT1+AKT2_ELK4+ELK4,hsa04010,AKT1;AKT2,ELK4;ELK4,hsa04010_AKT1_ELK4;hsa04010_AKT2_ELK4
28,hsa04010_AKT1+AKT1+AKT1+AKT2+AKT2+AKT2_FLNA+FLNB+FLNC+FLNA+FLNB+FLNC,hsa04010,AKT1;AKT1;AKT1;AKT2;AKT2;AKT2,FLNA;FLNB;FLNC;FLNA;FLNB;FLNC,hsa04010_AKT1_FLNA;hsa04010_AKT1_FLNB;hsa04010_AKT1_FLNC;hsa04010_AKT2_FLNA;hsa04010_AKT2_FLNB;hsa04010_AKT2_FLNC
29,hsa04010_AKT1+AKT1+AKT2+AKT2+AKT3+AKT3_FOS+JUN+FOS+JUN+FOS+JUN,hsa04010,AKT1;AKT1;AKT2;AKT2;AKT3;AKT3,FOS;JUN;FOS;JUN;FOS;JUN,hsa04010_AKT1_FOS;hsa04010_AKT1_JUN;hsa04010_AKT2_FOS;hsa04010_AKT2_JUN;hsa04010_AKT3_FOS;hsa04010_AKT3_JUN
30,hsa04010_AKT1+AKT2+AKT3_JUND+JUND+JUND,hsa04010,AKT1;AKT2;AKT3,JUND;JUND;JUND,hsa04010_AKT1_JUND;hsa04010_AKT2_JUND;hsa04010_AKT3_JUND
31,hsa04010_AKT1+AKT2_MAX+MAX,hsa04010,AKT1;AKT2,MAX;MAX,hsa04010_AKT1_MAX;hsa04010_AKT2_MAX
32,hsa04010_AKT1+AKT2_MEF2C+MEF2C,hsa04010,AKT1;AKT2,MEF2C;MEF2C,hsa04010_AKT1_MEF2C;hsa04010_AKT2_MEF2C
33,hsa04010_AKT1+AKT2+AKT3_MYC+MYC+MYC,hsa04010,AKT1;AKT2;AKT3,MYC;MYC;MYC,hsa04010_AKT1_MYC;hsa04010_AKT2_MYC;hsa04010_AKT3_MYC
34,hsa04010_AKT1+AKT2_NFATC1+NFATC1,hsa04010,AKT1;AKT2,NFATC1;NFATC1,hsa04010_AKT1_NFATC1;hsa04010_AKT2_NFATC1
35,hsa04010_AKT1+AKT2_NFATC3+NFATC3,hsa04010,AKT1;AKT2,NFATC3;NFATC3,hsa04010_AKT1_NFATC3;hsa04010_AKT2_NFATC3
36,hsa04010_AKT1+AKT1+AKT1+AKT1+AKT2+AKT2+AKT2+AKT2+AKT3+AKT3+AKT3_NFKB1+NFKB2+RELA+RELB+NFKB1+NFKB2+RELA+RELB+NFKB1+NFKB2+RELA,hsa04010,AKT1;AKT1;AKT1;AKT1;AKT2;AKT2;AKT2;AKT2;AKT3;AKT3;AKT3,NFKB1;NFKB2;RELA;RELB;NFKB1;NFKB2;RELA;RELB;NFKB1;NFKB2;RELA,hsa04010_AKT1_NFKB1;hsa04010_AKT1_NFKB2;hsa04010_AKT1_RELA;hsa04010_AKT1_RELB;hsa04010_AKT2_NFKB1;hsa04010_AKT2_NFKB2;hsa04010_AKT2_RELA;hsa04010_AKT2_RELB;hsa04010_AKT3_NFKB1;hsa04010_AKT3_NFKB2;hsa04010_AKT3_RELA
37,hsa04010_AKT1+AKT2+AKT3_TP53+TP53+TP53,hsa04010,AKT1;AKT2;AKT3,TP53;TP53;TP53,hsa04010_AKT1_TP53;hsa04010_AKT2_TP53;hsa04010_AKT3_TP53
38,hsa04010_ANGPT2+AREG+BDNF+CSF1+EFNA1+EFNA3+EFNA4+EFNA5+EGF+FGF10+FGF16+FGF18+FGF19+FGF1+FGF20+FGF21+FGF2+FGF4+FGF7+FGF8+FGF9+FLT3LG+HGF+IGF1+IGF2+INS+NGF+NTF3+PDGFA+PDGFB+PDGFC+PGF+TGFA+VEGFA+VEGFB+VEGFC+VEGFD_ERBB2+ERBB2+ERBB2+ERBB2+ERBB2+ERBB2+ERBB2+ERBB2+ERBB2+ERBB2+ERBB2+ERBB2+ERBB2+ERBB2+ERBB2+ERBB2+ERBB2+ERBB2+ERBB2+ERBB2+ERBB2+ERBB2+ERBB2+ERBB2+ERBB2+ERBB2+ERBB2+ERBB2+ERBB2+ERBB2+ERBB2+ERBB2+ERBB2+ERBB2+ERBB2+ERBB2+ERBB2,hsa04010,ANGPT2;AREG;BDNF;CSF1;EFNA1;EFNA3;EFNA4;EFNA5;EGF;FGF10;FGF16;FGF18;FGF19;FGF1;FGF20;FGF21;FGF2;FGF4;FGF7;FGF8;FGF9;FLT3LG;HGF;IGF1;IGF2;INS;NGF;NTF3;PDGFA;PDGFB;PDGFC;PGF;TGFA;VEGFA;VEGFB;VEGFC;VEGFD,ERBB2;ERBB2;ERBB2;ERBB2;ERBB2;ERBB2;ERBB2;ERBB2;ERBB2;ERBB2;ERBB2;ERBB2;ERBB2;ERBB2;ERBB2;ERBB2;ERBB2;ERBB2;ERBB2;ERBB2;ERBB2;ERBB2;ERBB2;ERBB2;ERBB2;ERBB2;ERBB2;ERBB2;ERBB2;ERBB2;ERBB2;ERBB2;ERBB2;ERBB2;ERBB2;ERBB2;ERBB2,hsa04010_ANGPT2_ERBB2;hsa04010_AREG_ERBB2;hsa04010_BDNF_ERBB2;hsa04010_CSF1_ERBB2;hsa04010_EFNA1_ERBB2;hsa04010_EFNA3_ERBB2;hsa04010_EFNA4_ERBB2;hsa04010_EFNA5_ERBB2;hsa04010_EGF_ERBB2;hsa04010_FGF10_ERBB2;hsa04010_FGF16_ERBB2;hsa04010_FGF18_ERBB2;hsa04010_FGF19_ERBB2;hsa04010_FGF1_ERBB2;hsa04010_FGF20_ERBB2;hsa04010_FGF21_ERBB2;hsa04010_FGF2_ERBB2;hsa04010_FGF4_ERBB2;hsa04010_FGF7_ERBB2;hsa04010_FGF8_ERBB2;hsa04010_FGF9_ERBB2;hsa04010_FLT3LG_ERBB2;hsa04010_HGF_ERBB2;hsa04010_IGF1_ERBB2;hsa04010_IGF2_ERBB2;hsa04010_INS_ERBB2;hsa04010_NGF_ERBB2;hsa04010_NTF3_ERBB2;hsa04010_PDGFA_ERBB2;hsa04010_PDGFB_ERBB2;hsa04010_PDGFC_ERBB2;hsa04010_PGF_ERBB2;hsa04010_TGFA_ERBB2;hsa04010_VEGFA_ERBB2;hsa04010_VEGFB_ERBB2;hsa04010_VEGFC_ERBB2;hsa04010_VEGFD_ERBB2
39,hsa04010_CASP3_ELK1,hsa04010,CASP3,ELK1,hsa04010_CASP3_ELK1
40,hsa04010_CASP3+CASP3_FOS+JUN,hsa04010,CASP3;CASP3,FOS;JUN,hsa04010_CASP3_FOS;hsa04010_CASP3_JUN
41,hsa04010_CASP3_JUND,hsa04010,CASP3,JUND,hsa04010_CASP3_JUND
42,hsa04010_CASP3_MYC,hsa04010,CASP3,MYC,hsa04010_CASP3_MYC
43,hsa04010_CASP3+CASP3+CASP3_NFKB1+NFKB2+RELA,hsa04010,CASP3;CASP3;CASP3,NFKB1;NFKB2;RELA,hsa04010_CASP3_NFKB1;hsa04010_CASP3_NFKB2;hsa04010_CASP3_RELA
44,hsa04010_CASP3_TP53,hsa04010,CASP3,TP53,hsa04010_CASP3_TP53
