BlockName	Pathway	Length	Genes
hsa00480_ANPEP_GSTM1	hsa00480	2	ANPEP*CHAC1*CHAC2*GGT1*GGT5*GGT6*GGT7*GSTM1
hsa00480_CHAC1_GSTM1	hsa00480	1	CHAC1*GSTM1
hsa00480_GCLC_GSTM1	hsa00480	3	ANPEP*CHAC1*CHAC2*GCLC*GGCT*GGT1*GGT5*GGT6*GGT7*GSTM1
hsa00480_GCLM_GSTM1	hsa00480	3	ANPEP*CHAC1*CHAC2*GCLM*GGCT*GGT1*GGT5*GGT6*GGT7*GSTM1
hsa00480_GGCT_GSTM1	hsa00480	2	CHAC1*CHAC2*GGCT*GGT1*GGT5*GGT6*GGT7*GSTM1
hsa00480_GSR_GSTM1	hsa00480	1	GSR*GSTM1
hsa00480_GSS_GSTM1	hsa00480	1	GSS*GSTM1
hsa00480_GSTA3_GSTM1	hsa00480	2	GGT1*GGT5*GGT6*GGT7*GSTA3*GSTM1
hsa00480_GSTA4_GSTM1	hsa00480	2	GGT1*GGT5*GGT6*GGT7*GSTA4*GSTM1
hsa00480_GSTK1_GSTM1	hsa00480	2	GGT1*GGT5*GGT6*GGT7*GSTK1*GSTM1
hsa00480_GSTM4_GSTM1	hsa00480	2	GGT1*GGT5*GGT6*GGT7*GSTM1*GSTM4
hsa00480_GSTO1_GSTM1	hsa00480	2	GGT1*GGT5*GGT6*GGT7*GSTM1*GSTO1
hsa00480_GSTO2_GSTM1	hsa00480	2	GGT1*GGT5*GGT6*GGT7*GSTM1*GSTO2
hsa00480_GSTP1_GSTM1	hsa00480	2	GGT1*GGT5*GGT6*GGT7*GSTM1*GSTP1
hsa00480_LANCL1_GSTM1	hsa00480	2	GGT1*GGT5*GGT6*GGT7*GSTM1*LANCL1
hsa00480_LAP3_GSTM1	hsa00480	2	CHAC1*CHAC2*GSS*GSTM1*LAP3
hsa00480_MGST1_GSTM1	hsa00480	2	GGT1*GGT5*GGT6*GGT7*GSTM1*MGST1
hsa00480_MGST2_GSTM1	hsa00480	2	GGT1*GGT5*GGT6*GGT7*GSTM1*MGST2
hsa00480_MGST3_GSTM1	hsa00480	2	GGT1*GGT5*GGT6*GGT7*GSTM1*MGST3
hsa00980_AKR1C1_GSTM1	hsa00980	2	AKR1C1*CYP1A1*CYP2A6*CYP2A7*GSTM1
hsa00980_CYP1A1_GSTM1	hsa00980	1	CYP1A1*GSTM1
hsa00980_CYP1A2_GSTM1	hsa00980	1	CYP1A2*GSTM1
hsa00980_CYP1B1_GSTM1	hsa00980	1	CYP1B1*GSTM1
hsa00980_CYP2B6_GSTM1	hsa00980	1	CYP2B6*GSTM1
hsa00980_CYP2C9_GSTM1	hsa00980	1	CYP2C9*GSTM1
hsa00980_CYP2E1_GSTM1	hsa00980	1	CYP2E1*GSTM1
hsa00980_CYP2F1_GSTM1	hsa00980	1	CYP2F1*GSTM1
hsa00980_CYP3A4_GSTM1	hsa00980	1	CYP3A4*GSTM1
hsa00980_CYP3A5_GSTM1	hsa00980	1	CYP3A5*GSTM1
