BlockName	Pathway	Length	Genes
hsa00230_ADA2_RRM2	hsa00230	5	ADA2*AK9*APRT*ATIC*CANT1*ENPP1*ENPP3*ENTPD1*ENTPD3*ENTPD4*ENTPD5*ENTPD6*GMPS*GUK1*HPRT1*ITPA*LACC1*NT5C*NT5C1B-RDH14*NT5C2*NT5E*NT5M*PNP*RRM2
hsa00230_ADA_RRM2	hsa00230	5	ADA*AK9*APRT*ATIC*CANT1*ENPP1*ENPP3*ENTPD1*ENTPD3*ENTPD4*ENTPD5*ENTPD6*GMPS*GUK1*HPRT1*ITPA*LACC1*NT5C*NT5C1B-RDH14*NT5C2*NT5E*NT5M*PNP*RRM2
hsa00230_ADK_RRM2	hsa00230	5	ADK*AK9*APRT*ATIC*CANT1*ENPP1*ENPP3*ENTPD1*ENTPD3*ENTPD4*ENTPD5*ENTPD6*GMPS*GUK1*HPRT1*ITPA*LACC1*NT5C*NT5C1B-RDH14*NT5C2*NT5E*NT5M*PNP*RRM2
hsa00230_ADSL_RRM2	hsa00230	3	ADSL*AK1*AK2*AK4*AK5*AK6*AK7*AK8*AK9*AMPD1*AMPD2*AMPD3*ATIC*CANT1*ENTPD1*ENTPD3*ENTPD4*ENTPD5*ENTPD6*RRM2
hsa00230_APRT_RRM2	hsa00230	3	APRT*ATIC*CANT1*ENPP1*ENPP3*ENTPD1*ENTPD3*ENTPD4*ENTPD5*ENTPD6*GUK1*RRM2
hsa00230_DCK_RRM2	hsa00230	5	AK9*APRT*ATIC*CANT1*DCK*ENPP1*ENPP3*ENTPD1*ENTPD3*ENTPD4*ENTPD5*ENTPD6*GMPS*GUK1*HPRT1*ITPA*NT5C*NT5C1B-RDH14*NT5C2*NT5E*NT5M*PNP*RRM2
hsa00230_DGUOK_RRM2	hsa00230	5	AK9*APRT*ATIC*CANT1*DGUOK*ENPP1*ENPP3*ENTPD1*ENTPD3*ENTPD4*ENTPD5*ENTPD6*GMPS*GUK1*HPRT1*ITPA*NT5C*NT5C1B-RDH14*NT5C2*NT5E*NT5M*PNP*RRM2
hsa00230_GART_RRM2	hsa00230	5	ADSL*AK1*AK2*AK4*AK5*AK6*AK7*AK8*AK9*AMPD1*AMPD2*AMPD3*ATIC*CANT1*ENTPD1*ENTPD3*ENTPD4*ENTPD5*ENTPD6*GART*PAICS*RRM2
hsa00230_IMPDH2_RRM2	hsa00230	4	AK9*CANT1*ENPP1*ENPP3*ENTPD1*ENTPD3*ENTPD4*ENTPD5*ENTPD6*GMPS*GUK1*HPRT1*IMPDH2*ITPA*NT5C*NT5C1B-RDH14*NT5C2*NT5E*NT5M*RRM2
hsa00230_NT5C_RRM2	hsa00230	3	AK9*CANT1*ENPP1*ENPP3*ENTPD1*ENTPD3*ENTPD4*ENTPD5*ENTPD6*GMPS*GUK1*ITPA*NT5C*RRM2
hsa00230_NT5E_RRM2	hsa00230	3	AK9*CANT1*ENPP1*ENPP3*ENTPD1*ENTPD3*ENTPD4*ENTPD5*ENTPD6*GMPS*GUK1*ITPA*NT5E*RRM2
hsa00230_NT5M_RRM2	hsa00230	3	AK9*CANT1*ENPP1*ENPP3*ENTPD1*ENTPD3*ENTPD4*ENTPD5*ENTPD6*GMPS*GUK1*ITPA*NT5M*RRM2
hsa00230_NTPCR_RRM2	hsa00230	3	ADCY1*ADCY10*ADCY2*ADCY3*ADCY4*ADCY5*ADCY6*ADCY7*ADCY9*AK9*CANT1*ENPP1*ENPP3*ENTPD1*ENTPD3*ENTPD4*ENTPD5*ENTPD6*GUK1*NTPCR*RRM2
hsa00230_PAICS_RRM2	hsa00230	4	ADSL*AK1*AK2*AK4*AK5*AK6*AK7*AK8*AK9*AMPD1*AMPD2*AMPD3*ATIC*CANT1*ENTPD1*ENTPD3*ENTPD4*ENTPD5*ENTPD6*PAICS*RRM2
hsa00230_PFAS_RRM2	hsa00230	6	ADSL*AK1*AK2*AK4*AK5*AK6*AK7*AK8*AK9*AMPD1*AMPD2*AMPD3*ATIC*CANT1*ENTPD1*ENTPD3*ENTPD4*ENTPD5*ENTPD6*GART*PAICS*PFAS*RRM2
hsa00230_PGM2_RRM2	hsa00230	8	ADSL*AK1*AK2*AK4*AK5*AK6*AK7*AK8*AK9*AMPD1*AMPD2*AMPD3*ATIC*CANT1*ENTPD1*ENTPD3*ENTPD4*ENTPD5*ENTPD6*GART*PAICS*PGM2*PPAT*PRPS1*PRPS2*RRM2
hsa00230_PPAT_RRM2	hsa00230	6	ADSL*AK1*AK2*AK4*AK5*AK6*AK7*AK8*AK9*AMPD1*AMPD2*AMPD3*ATIC*CANT1*ENTPD1*ENTPD3*ENTPD4*ENTPD5*ENTPD6*GART*PAICS*PPAT*RRM2
hsa00230_PRPS1_RRM2	hsa00230	7	ADSL*AK1*AK2*AK4*AK5*AK6*AK7*AK8*AK9*AMPD1*AMPD2*AMPD3*ATIC*CANT1*ENTPD1*ENTPD3*ENTPD4*ENTPD5*ENTPD6*GART*PAICS*PPAT*PRPS1*RRM2
hsa00230_PRPS2_RRM2	hsa00230	7	ADSL*AK1*AK2*AK4*AK5*AK6*AK7*AK8*AK9*AMPD1*AMPD2*AMPD3*ATIC*CANT1*ENTPD1*ENTPD3*ENTPD4*ENTPD5*ENTPD6*GART*PAICS*PPAT*PRPS2*RRM2
hsa00240_CANT1_RRM2	hsa00240	3	CANT1*CMPK1*CMPK2*ENPP1*ENPP3*ENTPD1*ENTPD3*RRM2
hsa00240_CANT1_TYMS	hsa00240	3	CANT1*DCTD*DUT*ENPP1*ENPP3*NT5C*NT5C1B-RDH14*NT5C2*NT5E*NT5M*TK1*TK2*TYMS
hsa00240_CTPS1_TYMS	hsa00240	3	AK9*CTPS1*DTYMK*ENPP1*ENPP3*ENTPD1*ENTPD3*NME1*NME1-NME2*NME2*NME3*NME4*NME6*NME7*TK1*TK2*TYMS
hsa00240_DCK_RRM2	hsa00240	3	CMPK1*CMPK2*DCK*DCTD*DTYMK*RRM2
hsa00240_DCTPP1_RRM2	hsa00240	3	CMPK1*CMPK2*DCTD*DCTPP1*DTYMK*RRM2
hsa00240_ENTPD4_RRM2	hsa00240	3	CMPK1*CMPK2*ENPP1*ENPP3*ENTPD1*ENTPD3*ENTPD4*RRM2
hsa00240_ENTPD4_TYMS	hsa00240	3	DCTD*DUT*ENPP1*ENPP3*ENTPD4*NT5C*NT5C1B-RDH14*NT5C2*NT5E*NT5M*TK1*TK2*TYMS
hsa00240_ENTPD6_RRM2	hsa00240	3	CMPK1*CMPK2*ENPP1*ENPP3*ENTPD1*ENTPD3*ENTPD6*RRM2
hsa00240_ENTPD6_TYMS	hsa00240	3	DCTD*DUT*ENPP1*ENPP3*ENTPD6*NT5C*NT5C1B-RDH14*NT5C2*NT5E*NT5M*TK1*TK2*TYMS
hsa00240_NT5C_RRM2	hsa00240	3	AK9*CMPK1*CMPK2*DCTD*DTYMK*DUT*ENPP1*ENPP3*ENTPD1*ENTPD3*NME1*NME1-NME2*NME2*NME3*NME4*NME6*NME7*NT5C*RRM2
hsa00240_NT5E_RRM2	hsa00240	3	AK9*CMPK1*CMPK2*DCTD*DTYMK*DUT*ENPP1*ENPP3*ENTPD1*ENTPD3*NME1*NME1-NME2*NME2*NME3*NME4*NME6*NME7*NT5E*RRM2
