source	target
hsa04014	hsa04310
hsa04014	hsa04012
hsa04014	hsa04010
hsa04014	hsa04620
hsa04014	hsa04625
hsa04014	hsa04657
hsa04014	hsa04660
hsa04014	hsa04668
hsa04014	hsa04722
hsa04014	hsa04912
hsa04014	hsa04926
hsa04014	hsa04024
hsa04014	hsa04218
hsa04014	hsa04115
hsa04014	hsa04151
hsa04014	hsa04919
hsa04014	hsa04110
hsa04014	hsa04071
hsa04014	hsa04015
hsa04014	hsa04928
hsa04014	hsa04915
hsa04014	hsa04020
hsa04014	hsa04072
hsa04014	hsa04510
hsa04014	hsa04540
hsa04014	hsa04630
hsa04014	hsa04810
hsa04014	hsa04066
hsa04014	hsa04144
hsa04014	hsa04921
hsa04014	hsa04068
hsa04014	hsa04917
hsa04014	hsa04390
hsa04014	hsa04350
hsa04014	hsa04550
hsa04014	hsa00270
hsa04014	hsa00230
hsa04014	hsa00240
hsa04014	hsa00983
hsa04014	hsa04910
hsa04014	hsa04114
hsa04014	hsa04530
hsa04014	hsa04666
hsa04014	hsa04140
hsa04014	hsa04210
hsa04014	hsa04141
hsa04014	hsa04064
hsa04014	hsa04725
hsa04014	hsa04340
hsa04014	hsa04261
hsa04014	hsa00860
hsa04014	hsa04621
hsa04014	hsa04920
hsa04310	hsa04218
hsa04310	hsa04151
hsa04310	hsa04919
hsa04310	hsa04625
hsa04310	hsa04115
hsa04310	hsa04110
hsa04310	hsa04915
hsa04310	hsa04928
hsa04310	hsa04066
hsa04310	hsa04010
hsa04310	hsa04014
hsa04310	hsa04015
hsa04310	hsa04630
hsa04310	hsa04020
hsa04310	hsa04810
hsa04310	hsa04912
hsa04310	hsa04510
hsa04310	hsa04144
hsa04310	hsa04921
hsa04310	hsa04012
hsa04310	hsa04350
hsa04310	hsa04390
hsa04310	hsa04550
hsa04310	hsa00983
hsa04310	hsa00230
hsa04310	hsa00240
hsa04310	hsa04068
hsa04310	hsa04114
hsa04310	hsa04530
hsa04310	hsa04666
hsa04310	hsa00232
hsa04310	hsa04917
hsa04310	hsa04210
hsa04310	hsa04722
hsa04310	hsa04261
hsa04310	hsa04141
hsa04310	hsa04064
hsa04310	hsa04140
hsa04310	hsa04071
hsa04310	hsa04340
hsa04310	hsa00860
hsa04310	hsa04072
hsa04310	hsa04725
hsa04310	hsa04620
hsa04310	hsa04657
hsa04310	hsa04660
hsa04310	hsa04668
hsa04310	hsa04926
hsa04310	hsa04910
hsa04012	hsa04218
hsa04012	hsa04115
hsa04012	hsa04151
hsa04012	hsa04919
hsa04012	hsa04625
hsa04012	hsa04928
hsa04012	hsa04915
hsa04012	hsa04010
hsa04012	hsa04014
hsa04012	hsa04015
hsa04012	hsa04020
hsa04012	hsa04072
hsa04012	hsa04510
hsa04012	hsa04540
hsa04012	hsa04630
hsa04012	hsa04810
hsa04012	hsa04066
hsa04012	hsa04912
hsa04012	hsa04144
hsa04012	hsa04921
hsa04012	hsa04390
hsa04012	hsa04110
hsa04012	hsa04350
hsa04012	hsa04310
hsa04012	hsa04550
hsa04012	hsa00983
hsa04012	hsa00230
hsa04012	hsa04068
hsa04012	hsa04114
hsa04012	hsa04530
hsa04012	hsa04666
hsa04012	hsa00232
hsa04012	hsa04917
hsa04012	hsa04210
hsa04012	hsa04141
hsa04012	hsa04722
hsa04012	hsa04064
hsa04012	hsa04261
hsa04012	hsa04140
hsa04012	hsa04071
hsa04012	hsa00240
hsa04012	hsa04340
hsa04012	hsa00860
hsa04012	hsa04660
hsa04012	hsa04657
hsa04012	hsa04926
hsa04012	hsa04922
hsa04010	hsa04218
hsa04010	hsa04926
hsa04010	hsa04115
hsa04010	hsa04310
hsa04010	hsa04151
hsa04010	hsa04919
hsa04010	hsa04625
hsa04010	hsa04110
hsa04010	hsa04922
hsa04010	hsa04722
hsa04010	hsa04064
hsa04010	hsa04066
hsa04010	hsa04621
hsa04010	hsa04920
hsa04010	hsa04062
hsa04010	hsa04340
hsa04010	hsa04928
hsa04010	hsa04014
hsa04010	hsa04015
hsa04010	hsa04020
hsa04010	hsa04810
hsa04010	hsa04630
hsa04010	hsa04510
hsa04010	hsa04915
hsa04010	hsa04072
hsa04010	hsa04540
hsa04010	hsa04912
hsa04010	hsa04921
hsa04010	hsa04144
hsa04010	hsa04012
hsa04010	hsa04550
hsa04010	hsa04390
hsa04010	hsa04350
hsa04010	hsa00230
hsa04010	hsa00983
hsa04010	hsa00240
hsa04010	hsa04068
hsa04010	hsa04114
