,BlockName,Pathway,Sources,Targets,SubpathwayBlocks
0,hsa00230_ADA2+ADA_RRM2+RRM2,hsa00230,ADA2;ADA,RRM2;RRM2,hsa00230_ADA2_RRM2;hsa00230_ADA_RRM2
1,hsa00230_ADCY1+ADCY2+ADCY3+ADCY4+ADCY5+ADCY6+ADCY7+ADCY8+ADCY9_RRM2+RRM2+RRM2+RRM2+RRM2+RRM2+RRM2+RRM2+RRM2,hsa00230,ADCY1;ADCY2;ADCY3;ADCY4;ADCY5;ADCY6;ADCY7;ADCY8;ADCY9,RRM2;RRM2;RRM2;RRM2;RRM2;RRM2;RRM2;RRM2;RRM2,hsa00230_ADCY1_RRM2;hsa00230_ADCY2_RRM2;hsa00230_ADCY3_RRM2;hsa00230_ADCY4_RRM2;hsa00230_ADCY5_RRM2;hsa00230_ADCY6_RRM2;hsa00230_ADCY7_RRM2;hsa00230_ADCY8_RRM2;hsa00230_ADCY9_RRM2
2,hsa00230_ADK_RRM2,hsa00230,ADK,RRM2,hsa00230_ADK_RRM2
3,hsa00230_ADSL_RRM2,hsa00230,ADSL,RRM2,hsa00230_ADSL_RRM2
4,hsa00230_ADSS2_RRM2,hsa00230,ADSS2,RRM2,hsa00230_ADSS2_RRM2
5,hsa00230_AK2+AK7+AK8+AK9+NME1+NME2+NME6_RRM2+RRM2+RRM2+RRM2+RRM2+RRM2+RRM2,hsa00230,AK2;AK7;AK8;AK9;NME1;NME2;NME6,RRM2;RRM2;RRM2;RRM2;RRM2;RRM2;RRM2,hsa00230_AK2_RRM2;hsa00230_AK7_RRM2;hsa00230_AK8_RRM2;hsa00230_AK9_RRM2;hsa00230_NME1_RRM2;hsa00230_NME2_RRM2;hsa00230_NME6_RRM2
6,hsa00230_AK3_RRM2,hsa00230,AK3,RRM2,hsa00230_AK3_RRM2
7,hsa00230_AMPD2+AMPD3_RRM2+RRM2,hsa00230,AMPD2;AMPD3,RRM2;RRM2,hsa00230_AMPD2_RRM2;hsa00230_AMPD3_RRM2
8,hsa00230_APRT_RRM2,hsa00230,APRT,RRM2,hsa00230_APRT_RRM2
9,hsa00230_ATIC_RRM2,hsa00230,ATIC,RRM2,hsa00230_ATIC_RRM2
10,hsa00230_CANT1+ENTPD4+ENTPD6_RRM2+RRM2+RRM2,hsa00230,CANT1;ENTPD4;ENTPD6,RRM2;RRM2;RRM2,hsa00230_CANT1_RRM2;hsa00230_ENTPD4_RRM2;hsa00230_ENTPD6_RRM2
11,hsa00230_DCK+DGUOK_RRM2+RRM2,hsa00230,DCK;DGUOK,RRM2;RRM2,hsa00230_DCK_RRM2;hsa00230_DGUOK_RRM2
12,hsa00230_GART_RRM2,hsa00230,GART,RRM2,hsa00230_GART_RRM2
13,hsa00230_GDA_RRM2,hsa00230,GDA,RRM2,hsa00230_GDA_RRM2
14,hsa00230_GUCY2C_RRM2,hsa00230,GUCY2C,RRM2,hsa00230_GUCY2C_RRM2
15,hsa00230_GUK1_RRM2,hsa00230,GUK1,RRM2,hsa00230_GUK1_RRM2
16,hsa00230_HDDC3_RRM2,hsa00230,HDDC3,RRM2,hsa00230_HDDC3_RRM2
17,hsa00230_IMPDH2_RRM2,hsa00230,IMPDH2,RRM2,hsa00230_IMPDH2_RRM2
18,hsa00230_ITPA_RRM2,hsa00230,ITPA,RRM2,hsa00230_ITPA_RRM2
19,hsa00230_NT5C+NT5E+NT5M_RRM2+RRM2+RRM2,hsa00230,NT5C;NT5E;NT5M,RRM2;RRM2;RRM2,hsa00230_NT5C_RRM2;hsa00230_NT5E_RRM2;hsa00230_NT5M_RRM2
20,hsa00230_NTPCR_RRM2,hsa00230,NTPCR,RRM2,hsa00230_NTPCR_RRM2
21,hsa00230_PAICS_RRM2,hsa00230,PAICS,RRM2,hsa00230_PAICS_RRM2
22,hsa00230_PDE2A+PDE3B+PDE5A+PDE6A+PDE6B+PDE6D+PDE9A_RRM2+RRM2+RRM2+RRM2+RRM2+RRM2+RRM2,hsa00230,PDE2A;PDE3B;PDE5A;PDE6A;PDE6B;PDE6D;PDE9A,RRM2;RRM2;RRM2;RRM2;RRM2;RRM2;RRM2,hsa00230_PDE2A_RRM2;hsa00230_PDE3B_RRM2;hsa00230_PDE5A_RRM2;hsa00230_PDE6A_RRM2;hsa00230_PDE6B_RRM2;hsa00230_PDE6D_RRM2;hsa00230_PDE9A_RRM2
23,hsa00230_PDE4A+PDE4B+PDE4C+PDE4D+PDE7A+PDE7B+PDE8A_RRM2+RRM2+RRM2+RRM2+RRM2+RRM2+RRM2,hsa00230,PDE4A;PDE4B;PDE4C;PDE4D;PDE7A;PDE7B;PDE8A,RRM2;RRM2;RRM2;RRM2;RRM2;RRM2;RRM2,hsa00230_PDE4A_RRM2;hsa00230_PDE4B_RRM2;hsa00230_PDE4C_RRM2;hsa00230_PDE4D_RRM2;hsa00230_PDE7A_RRM2;hsa00230_PDE7B_RRM2;hsa00230_PDE8A_RRM2
24,hsa00230_PFAS_RRM2,hsa00230,PFAS,RRM2,hsa00230_PFAS_RRM2
25,hsa00230_PGM2_RRM2,hsa00230,PGM2,RRM2,hsa00230_PGM2_RRM2
26,hsa00230_PPAT_RRM2,hsa00230,PPAT,RRM2,hsa00230_PPAT_RRM2
27,hsa00230_PRPS1+PRPS2_RRM2+RRM2,hsa00230,PRPS1;PRPS2,RRM2;RRM2,hsa00230_PRPS1_RRM2;hsa00230_PRPS2_RRM2
28,hsa00230_PRUNE1_RRM2,hsa00230,PRUNE1,RRM2,hsa00230_PRUNE1_RRM2
29,hsa00230_RRM1+RRM2B_RRM2+RRM2,hsa00230,RRM1;RRM2B,RRM2;RRM2,hsa00230_RRM1_RRM2;hsa00230_RRM2B_RRM2
30,hsa00232_CYP1A2_NAT1,hsa00232,CYP1A2,NAT1,hsa00232_CYP1A2_NAT1
31,hsa00240_AK9+NME1+NME2+NME6_RRM2+RRM2+RRM2+RRM2,hsa00240,AK9;NME1;NME2;NME6,RRM2;RRM2;RRM2;RRM2,hsa00240_AK9_RRM2;hsa00240_NME1_RRM2;hsa00240_NME2_RRM2;hsa00240_NME6_RRM2
32,hsa00240_AK9+NME1+NME2+NME6_TYMS+TYMS+TYMS+TYMS,hsa00240,AK9;NME1;NME2;NME6,TYMS;TYMS;TYMS;TYMS,hsa00240_AK9_TYMS;hsa00240_NME1_TYMS;hsa00240_NME2_TYMS;hsa00240_NME6_TYMS
33,hsa00240_CANT1+ENTPD4+ENTPD6_RRM2+RRM2+RRM2,hsa00240,CANT1;ENTPD4;ENTPD6,RRM2;RRM2;RRM2,hsa00240_CANT1_RRM2;hsa00240_ENTPD4_RRM2;hsa00240_ENTPD6_RRM2
34,hsa00240_CANT1+ENTPD4+ENTPD6_TYMS+TYMS+TYMS,hsa00240,CANT1;ENTPD4;ENTPD6,TYMS;TYMS;TYMS,hsa00240_CANT1_TYMS;hsa00240_ENTPD4_TYMS;hsa00240_ENTPD6_TYMS
35,hsa00240_CMPK1+CMPK2_RRM2+RRM2,hsa00240,CMPK1;CMPK2,RRM2;RRM2,hsa00240_CMPK1_RRM2;hsa00240_CMPK2_RRM2
36,hsa00240_CMPK1+CMPK2_TYMS+TYMS,hsa00240,CMPK1;CMPK2,TYMS;TYMS,hsa00240_CMPK1_TYMS;hsa00240_CMPK2_TYMS
37,hsa00240_CTPS1_RRM2,hsa00240,CTPS1,RRM2,hsa00240_CTPS1_RRM2
38,hsa00240_CTPS1_TYMS,hsa00240,CTPS1,TYMS,hsa00240_CTPS1_TYMS
39,hsa00240_DCK_RRM2,hsa00240,DCK,RRM2,hsa00240_DCK_RRM2
40,hsa00240_DCK_TYMS,hsa00240,DCK,TYMS,hsa00240_DCK_TYMS
41,hsa00240_DCTPP1_RRM2,hsa00240,DCTPP1,RRM2,hsa00240_DCTPP1_RRM2
42,hsa00240_DCTPP1_TYMS,hsa00240,DCTPP1,TYMS,hsa00240_DCTPP1_TYMS
